track_title,artist_name,track_id,duration_ms,energy,key,mode,time_signature,acousticness,danceability,instrumentalness,liveness,loudness,speechiness,valence,tempo,On_chart
Jackie Blue,Ozark Mountain Daredevils,1R9EHsvzpXwOvlGkgDmE55,250120,0.5379999999999999,1,1,4,0.362,0.562,0.00315,0.0411,-9.937,0.0275,0.962,107.096,1
Charmer,Tim Moore,778BoUKMf0vdF4gZUh2ZDO,168307,0.715,10,1,4,0.5760000000000001,0.705,9.86e-05,0.101,-9.288,0.041,0.961,125.696,1
I Just Can't Say Goodbye,Philly Devotions,7BfTKy6l0B7ZMC1GBce6Vu,190520,0.887,0,1,4,0.0985,0.647,0.000397,0.0719,-7.1160000000000005,0.0678,0.818,118.047,1
Believe Half Of What You See ,Leon Haywood,0dN9Fz76SvVGbHROcNeJzG,162280,0.466,3,1,4,0.442,0.882,0.0,0.0544,-9.209,0.038,0.964,101.883,1
Once You Get Started,Rufus Featuring Chaka Khan,6wwQQw2OJL5N2H0JgeBpNC,271093,0.772,10,1,4,0.0678,0.629,0.0017399999999999998,0.276,-9.035,0.0421,0.887,120.281,1
Dance The Kung Fu,Carl Douglas,1XJGRuqfyh9xvBXAVuGD3g,188293,0.8170000000000001,6,0,4,0.0347,0.636,0.0854,0.407,-9.309,0.0869,0.8540000000000001,101.929,1
Shining Star,"Earth, Wind & Fire",0RgcOUQg4qYAEt9RIdf3oB,170160,0.6920000000000001,9,1,4,0.6679999999999999,0.6759999999999999,0.00915,0.13,-13.093,0.052000000000000005,0.799,102.516,1
I Wanna Learn A Love Song,Harry Chapin,0y7n3jUYAUgldH4GQwnArf,262667,0.645,7,1,4,0.438,0.5670000000000001,0.0,0.1,-10.435,0.0465,0.654,152.762,1
I Have A Dream,Donny Osmond,56ykUSpGpZnGQLGStE3weF,189827,0.385,1,1,4,0.8270000000000001,0.515,0.0,0.194,-5.6370000000000005,0.0239,0.371,83.32700000000001,1
Shoeshine Boy,Eddie Kendricks,1vIsPpjkRBJyFBbYdQNopN,195493,0.6609999999999999,2,1,4,0.326,0.6409999999999999,2.46e-05,0.11,-10.621,0.0491,0.941,167.201,1
Smokin' Room,Carl Carlton,1Hmm0C4IccbRODCp5vUGBU,213187,0.8320000000000001,4,1,4,0.263,0.672,0.0,0.256,-6.556,0.0714,0.725,104.25,1
Harry Truman,Chicago,1qvFHNSBXGOsryKOr3p03m,180227,0.621,2,1,4,0.0274,0.4920000000000001,0.0012,0.6970000000000001,-8.582,0.0248,0.653,93.053,1
